district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Ghanche,2010,0,294.01,19.27,128.86,1.0562,7.69,7,82.26,GB,35.49,76.67,2700,mountains,1,medium,4,2,6.0,9.7251,very_low,1,0.0059703575
Shigar,2010,0,417.04,25.92,148.65,1.2184,10.01,6,125.39,GB,35.51,75.7,2620,mountains,1,medium,4,2,6.0,11.7221,very_low,1,0.0026824065
Kharmang,2010,0,380.76,28.99,129.19,1.0589,8.29,7,123.97,GB,35.08,76.2,2500,mountains,1,medium,4,2,6.0,11.6772,very_low,1,0.0018296795
Roundu,2010,1,445.88,25.42,214.73,1.7601,25.42,9,85.77,GB,35.5,73.7,1600,mountains,1,medium,4,2,6.0,19.3118,low,2,0.81575763
Tangir,2010,1,614.52,50.64,323.25,2.6496,50.64,17,103.59,GB,35.5,73.2,1400,mountains,1,medium,4,2,6.0,34.2752,low,2,0.8888936
Darel,2010,1,614.52,50.64,323.25,2.6496,50.64,17,103.59,GB,35.55,73.4,1500,mountains,1,medium,4,2,6.0,33.1138,low,2,0.914213
Diamer,2010,1,722.84,41.99,351.42,2.8805,36.8,22,130.87,GB,35.1667,73.6667,1600,mountains,1,medium,4,2,6.0,32.773,low,2,0.9627656
Astore,2010,0,454.12,26.02,160.48,1.3154,10.43,11,134.41,GB,35.3667,74.9,2590,mountains,1,medium,4,2,6.0,12.9526,very_low,1,0.1703205
Ghizer,2010,0,326.27,19.9,149.74,1.2274,19.9,6,71.29,GB,36.2,73.75,2200,mountains,1,medium,4,2,6.0,11.8209,very_low,1,0.1690945
Gupis Yasin,2010,0,397.82,33.81,179.6,1.4721,33.81,11,90.07,GB,36.17,73.27,2260,mountains,1,medium,4,2,6.0,16.1413,low,2,0.19814138
Muzaffarabad,2010,1,919.02,57.06,449.26,3.6825,43.48,26,159.03,AJK,34.37,73.47,737,mountains,1,medium,4,2,5.0,62.2357,moderate,3,0.9708772
Mirpur,2010,0,968.74,95.58,699.51,5.7337,95.58,37,75.51,AJK,33.1478,73.7508,411,hills,1,medium,3,2,5.0,131.318,high,4,0.09445714
Bagh,2010,0,928.18,58.17,486.83,3.9904,58.17,27,145.78,AJK,33.9861,73.7808,1070,mountains,1,medium,4,2,5.0,54.8721,moderate,3,0.33363068
Rawalakot,2010,0,928.18,58.17,486.83,3.9904,58.17,27,145.78,AJK,33.8583,73.7611,1676,mountains,0,low,4,1,5.0,10.9628,very_low,1,0.0026836505
